E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
322	87.9	1603.502	13937.432	1890.286	36.688
322	88.0	1524.576	13633.819	1834.225	33.388
322	88.1	1445.800	13337.636	1780.068	30.787
322	88.2	1367.191	13048.464	1727.710	28.685
322	88.3	1288.765	12765.918	1677.056	26.950
322	88.4	1210.539	12489.644	1628.016	25.490
323	87.8	1684.492	14235.962	1944.055	40.864
323	87.9	1605.337	13924.835	1886.115	36.582
323	88.0	1526.317	13621.568	1830.183	33.301
323	88.1	1447.448	13325.708	1776.149	30.714
323	88.2	1368.746	13036.839	1723.908	28.622
323	88.3	1290.228	12754.577	1673.365	26.894
323	88.4	1211.910	12478.567	1624.432	25.440
324	87.8	1686.417	14223.046	1939.772	40.732
324	87.9	1607.168	13912.288	1881.966	36.476
324	88.0	1528.055	13609.366	1826.163	33.214
324	88.1	1449.092	13313.829	1772.251	30.641
324	88.2	1370.298	13025.261	1720.126	28.559
324	88.3	1291.687	12743.280	1669.695	26.838
324	88.4	1213.277	12467.534	1620.867	25.390
325	87.8	1688.337	14210.180	1935.511	40.601
325	87.9	1608.995	13899.791	1877.839	36.372
325	88.0	1529.788	13597.212	1822.164	33.128
325	88.1	1450.732	13301.996	1768.374	30.568
325	88.2	1371.845	13013.728	1716.365	28.496
325	88.3	1293.143	12732.029	1666.044	26.783
325	88.4	1214.641	12456.546	1617.322	25.341
326	87.8	1690.253	14197.365	1931.272	40.470
326	87.9	1610.817	13887.342	1873.735	36.268
326	88.0	1531.517	13585.106	1818.187	33.043
326	88.1	1452.368	13290.210	1764.518	30.496
326	88.2	1373.389	13002.241	1712.625	28.434
326	88.3	1294.594	12720.822	1662.413	26.728
326	88.4	1216.002	12445.601	1613.797	25.292
327	87.8	1692.164	14184.600	1927.057	40.340
327	87.9	1612.634	13874.942	1869.652	36.164
327	88.0	1533.241	13573.047	1814.231	32.958
327	88.1	1454.000	13278.470	1760.682	30.424
327	88.2	1374.929	12990.800	1708.904	28.372
327	88.3	1296.043	12709.660	1658.802	26.673
327	88.4	1217.359	12434.700	1610.290	25.243
328	87.8	1694.070	14171.884	1922.863	40.212
328	87.9	1614.448	13862.590	1865.592	36.061
328	88.0	1534.961	13561.036	1810.296	32.873
328	88.1	1455.628	13266.777	1756.867	30.352
328	88.2	1376.465	12979.404	1705.203	28.310
328	88.3	1297.487	12698.542	1655.210	26.619
328	88.4	1218.713	12423.842	1606.802	25.194
329	87.8	1695.972	14159.218	1918.692	40.084
329	87.9	1616.256	13850.287	1861.552	35.959
329	88.0	1536.678	13549.071	1806.382	32.789
