strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
226	12644980.00	13542737.00	-0.06859	1567169	1567055	14212149	15109792
227	12612982.00	13423446.00	-0.06228	1891916	1892816	14504898	15316262
228	12813970.00	13514755.00	-0.05325	1617780	1617531	14431750	15132286
229	12806411.00	13356521.00	-0.04206	1878596	1878385	14685007	15234906
230	12759371.00	13137302.00	-0.02919	1609211	1610698	14368582	14748000
231	12909803.00	13100756.00	-0.01468	1860639	1861489	14770442	14962245
232	12978905.00	12970598.00	0.00064	1501778	1501208	14480683	14471806
233	12984429.00	12799563.00	0.01434	1942654	1943228	14927083	14742791
234	13132773.00	12773260.00	0.02776	1606692	1608415	14739465	14381675
235	13144549.00	12616065.00	0.04104	1951389	1951173	15095938	14567238
236	13299675.00	12588464.00	0.05496	1567945	1568811	14867620	14157275
237	13196585.00	12329775.00	0.06794	1885660	1885731	15082245	14215506
238	13317381.00	12293698.00	0.07998	1583663	1584182	14901044	13877880
239	13429685.00	12277117.00	0.08973	1739101	1738800	15168786	14015917
240	13573198.00	12303924.00	0.09818	1551449	1551347	15124647	13855271
241	13530970.00	12198433.00	0.10367	1837068	1836752	15368038	14035185
242	13740551.00	12382847.00	0.10404	1603973	1603360	15344524	13986207
243	13760569.00	12458339.00	0.09942	1821073	1820364	15581642	14278703
244	13850549.00	12644133.00	0.09113	1705831	1706565	15556380	14350698
245	13900178.00	12832881.00	0.07989	1742624	1741736	15642802	14574617
246	14056178.00	13148679.00	0.06674	1607618	1608440	15663796	14757119
247	13939302.00	13232831.00	0.05201	1780129	1778210	15719431	15011041
248	14137261.00	13615942.00	0.03757	1702942	1703286	15840203	15319228
249	14314614.00	13998832.00	0.02231	1808333	1808063	16122947	15806895
250	14358143.00	14230914.00	0.00890	1569755	1569938	15927898	15800852
251	14464399.00	14484171.00	-0.00137	1869494	1870187	16333893	16354358
252	14415323.00	14564733.00	-0.01031	1705961	1706533	16121284	16271266
253	14471961.00	14748324.00	-0.01892	1998030	1998887	16469991	16747211
254	14690753.00	15045943.00	-0.02389	1705781	1707410	16396534	16753353
255	14676005.00	15093199.00	-0.02803	1920311	1921178	16596316	17014377
256	14915267.00	15354969.00	-0.02905	1768879	1768814	16684146	17123783
257	14894661.00	15346032.00	-0.02985	1816796	1818622	16711457	17164654
258	14919813.00	15357123.00	-0.02889	1776919	1777079	16696732	17134202
259	14951829.00	15350955.00	-0.02634	1898981	1900053	16850810	17251008
260	15068188.00	15417233.00	-0.02290	1680316	1680473	16748504	17097706
261	15176609.00	15481884.00	-0.01992	1905816	1905758	17082425	17387642
262	15278759.00	15521229.00	-0.01575	1635731	1636776	16914490	17158005
263	15172464.00	15371957.00	-0.01306	1927201	1926329	17099665	17298286
264	15427505.00	15586280.00	-0.01024	1671744	1673225	17099249	17259505
265	15524846.00	15667745.00	-0.00916	1949643	1949019	17474489	17616764
266	15621228.00	15787521.00	-0.01059	1705408	1706717	17326636	17494238
267	15472219.00	15658835.00	-0.01199	1788161	1788344	17260380	17447179
268	15828960.00	16025170.00	-0.01232	1718634	1719734	17547594	17744904
269	15733789.00	15948154.00	-0.01353	1774469	1774368	17508258	17722522
270	15827184.00	16025407.00	-0.01245	1629097	1630643	17456281	17656050
271	15918539.00	16055222.00	-0.00855	1858830	1858975	17777369	17914197
272	15977150.00	16037389.00	-0.00376	1550578	1552096	17527728	17589485
273	16170423.00	16170802.00	-0.00002	1787946	1786995	17958369	17957797
274	16190334.00	16106295.00	0.00520	1759734	1760543	17950068	17866838
275	16464928.00	16316298.00	0.00907	1777342	1776559	18242270	18092857
276	16571556.00	16371626.00	0.01214	1643139	1643705	18214695	18015331
277	16397877.00	16147480.00	0.01539	1762848	1762223	18160725	17909703
278	16742484.00	16463092.00	0.01683	1500536	1501190	18243020	17964282
279	16777292.00	16490296.00	0.01725	1865180	1865232	18642472	18355528
280	16802493.00	16492690.00	0.01861	1627083	1626518	18429576	18119208
281	16934815.00	16606535.00	0.01958	1813393	1814529	18748208	18421064
282	17028599.00	16653228.00	0.02229	1750787	1751332	18779386	18404560
283	16905916.00	16474819.00	0.02583	1844316	1845600	18750232	18320419
284	16930236.00	16430943.00	0.02993	1568894	1569560	18499130	18000503
285	17170209.00	16570229.00	0.03557	1773903	1774484	18944112	18344713
286	17375324.00	16680050.00	0.04084	1614884	1615834	18990208	18295884
287	17315124.00	16536643.00	0.04600	1968383	1970671	19283507	18507314
288	17522130.00	16658406.00	0.05055	1707648	1707835	19229778	18366241
289	17410932.00	16478382.00	0.05505	1885016	1886721	19295948	18365103
290	17626322.00	16636706.00	0.05778	1544442	1544045	19170764	18180751
291	17643157.00	16599159.00	0.06100	1874799	1876090	19517956	18475249
292	17653621.00	16567214.00	0.06352	1629621	1630294	19283242	18197508
293	17891955.00	16765881.00	0.06501	1879801	1881286	19771756	18647167
294	18017967.00	16838392.00	0.06771	1622637	1625307	19640604	18463699
295	17964382.00	16736314.00	0.07081	1849304	1849931	19813686	18586245
296	18231978.00	16926623.00	0.07429	1677688	1676372	19909666	18602995
297	18219730.00	16872972.00	0.07679	1944142	1944674	20163872	18817646
298	18399761.00	16976501.00	0.08051	1613926	1614765	20013687	18591266
299	18503412.00	16994066.00	0.08509	1820159	1819923	20323571	18813989
300	18215187.00	16647523.00	0.08999	1677106	1678970	19892293	18326493
301	18080100.00	16449158.00	0.09454	1809169	1809412	19889269	18258570
302	18628795.00	16890293.00	0.09797	1615524	1616966	20244319	18507259
303	18777013.00	16981692.00	0.10050	1854207	1854047	20631220	18835739
304	18891428.00	17063393.00	0.10177	1652472	1653227	20543900	18716620
305	18951969.00	17117940.00	0.10178	1767391	1767045	20719360	18884985
306	19123891.00	17299846.00	0.10024	1680589	1681431	20804480	18981277
307	19148469.00	17373286.00	0.09729	1843963	1844056	20992432	19217342
308	19060181.00	17363209.00	0.09325	1566182	1568312	20626363	18931521
309	18590899.00	17024760.00	0.08800	1779489	1779545	20370388	18804305
310	18887669.00	17427217.00	0.08048	1626080	1627190	20513749	19054407
311	19169024.00	17833948.00	0.07219	1782567	1782320	20951591	19616268
312	19493994.00	18285670.00	0.06399	1655447	1657028	21149441	19942698
313	19394950.00	18332374.00	0.05634	1838662	1839084	21233612	20171458
314	19501902.00	18579303.00	0.04846	1637067	1637139	21138969	20216442
315	19539876.00	18777478.00	0.03980	1941108	1940871	21480984	20718349
316	19631735.00	18994547.00	0.03300	1716926	1717643	21348661	20712190
317	19624071.00	19128606.00	0.02557	2046618	2047257	21670689	21175863
318	19719796.00	19350690.00	0.01889	1610799	1612150	21330595	20962840
319	19693394.00	19453909.00	0.01224	2043272	2044428	21736666	21498337
320	19899140.00	19765241.00	0.00675	2018206	2018059	21917346	21783300
321	19664195.00	19650243.00	0.00071	1683871	1685344	21348066	21335587
322	20031415.00	20137958.00	-0.00530	2016001	2016296	22047416	22154254
323	19610128.00	19786660.00	-0.00896	1737476	1739243	21347604	21525903
324	19904912.00	20153684.00	-0.01242	1902453	1902685	21807365	22056369
325	20017495.00	20341686.00	-0.01607	1793093	1793988	21810588	22135674
326	20347395.00	20725425.00	-0.01841	1791212	1790799	22138607	22516224
327	20026470.00	20439670.00	-0.02042	1825499	1825841	21851969	22265511
328	19884437.00	20361493.00	-0.02371	1882989	1883207	21767426	22244700
329	19915385.00	20474666.00	-0.02770	1831814	1832371	21747199	22307037
330	20524712.00	21221093.00	-0.03337	1777956	1778512	22302668	22999605
331	20410982.00	21229054.00	-0.03930	1852098	1852143	22263080	23081197
332	20664095.00	21633445.00	-0.04584	1931435	1931962	22595530	23565407
333	20505588.00	21611463.00	-0.05253	1761564	1761165	22267152	23372628
334	20776482.00	22040632.00	-0.05907	1904334	1904460	22680816	23945092
335	20686283.00	22059552.00	-0.06427	1935629	1933669	22621912	23993221
336	20891897.00	22384813.00	-0.06902	1782482	1783066	22674379	24167879
337	20843739.00	22441306.00	-0.07385	1873506	1872046	22717245	24313352
338	21026950.00	22721566.00	-0.07751	1811460	1811786	22838410	24533352
339	20748065.00	22468965.00	-0.07968	1740461	1740509	22488526	24209474
340	21062664.00	22841555.00	-0.08108	1832309	1833081	22894973	24674636
341	20959637.00	22723811.00	-0.08081	1815894	1814962	22775531	24538773
342	21296321.00	23049023.00	-0.07909	1776761	1777455	23073082	24826478
343	21275246.00	22967601.00	-0.07654	1923036	1922379	23198282	24889980
